"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2021","176.74","177.93","178.60","176.40","4.13M","-0.55%"
"10/07/2021","177.71","177.70","179.63","177.33","7.78M","1.27%"
"10/06/2021","175.48","173.00","175.71","171.55","6.01M","0.50%"
"10/05/2021","174.61","173.83","176.24","173.61","6.80M","0.66%"
"10/04/2021","173.46","175.56","175.96","172.66","7.20M","-1.45%"
"10/01/2021","176.01","172.28","177.32","171.97","12.17M","4.04%"
"09/30/2021","169.17","173.10","173.68","169.10","13.98M","-2.03%"
"09/29/2021","172.68","174.25","174.96","172.59","6.24M","-1.05%"
"09/28/2021","174.52","177.75","178.00","173.86","9.13M","-2.10%"
"09/27/2021","178.26","176.63","179.45","175.96","7.75M","1.28%"
"09/24/2021","176.00","175.30","176.70","175.08","5.71M","-0.14%"
"09/23/2021","176.25","174.94","177.19","174.37","8.05M","1.50%"
"09/22/2021","173.65","172.94","175.34","171.66","14.21M","1.45%"
"09/21/2021","171.17","180.32","182.23","169.03","23.22M","-4.17%"
"09/20/2021","178.61","179.74","180.88","176.55","8.06M","-2.65%"
"09/17/2021","183.47","182.91","185.90","182.73","10.04M","0.07%"
"09/16/2021","183.34","183.97","184.64","182.12","5.68M","-0.58%"
"09/15/2021","184.41","182.06","184.66","181.10","5.93M","1.10%"
"09/14/2021","182.40","184.96","185.13","182.15","6.19M","-1.39%"
"09/13/2021","184.98","185.12","185.80","183.50","6.82M","0.47%"
"09/10/2021","184.12","186.36","187.10","184.01","5.57M","-0.96%"
"09/09/2021","185.91","185.15","187.58","184.57","7.19M","0.41%"
"09/08/2021","185.15","184.34","187.46","183.92","8.63M","0.44%"
"09/07/2021","184.34","181.02","185.55","180.05","10.70M","1.85%"
"09/03/2021","181.00","181.82","181.82","179.13","6.85M","-0.47%"
"09/02/2021","181.86","184.16","185.30","181.55","6.50M","-0.88%"
"09/01/2021","183.48","181.96","184.21","181.78","7.30M","1.20%"
"08/31/2021","181.30","179.25","182.98","178.53","8.62M","0.73%"
"08/30/2021","179.98","180.50","181.39","178.87","6.42M","-0.09%"
"08/27/2021","180.14","176.28","180.54","176.28","8.70M","2.03%"
"08/26/2021","176.56","178.34","178.94","176.34","4.56M","-0.98%"
"08/25/2021","178.31","178.16","178.59","176.88","4.84M","-0.09%"
"08/24/2021","178.47","177.92","180.08","177.76","5.89M","0.46%"
"08/23/2021","177.66","177.08","178.31","175.91","7.40M","1.45%"
"08/20/2021","175.12","173.00","175.21","172.65","6.24M","1.08%"
"08/19/2021","173.25","174.00","174.68","172.56","8.48M","-0.85%"
"08/18/2021","174.74","175.90","176.79","174.50","7.06M","-0.62%"
"08/17/2021","175.83","177.15","178.45","174.92","8.53M","-1.82%"
